wavelength   n   k
4.948469e-01 2.573111e+00 2.935312e-02
4.948588e-01 2.573106e+00 2.935128e-02
4.948708e-01 2.573100e+00 2.934944e-02
4.948828e-01 2.573095e+00 2.934760e-02
4.948948e-01 2.573089e+00 2.934576e-02
4.949067e-01 2.573084e+00 2.934391e-02
4.949187e-01 2.573078e+00 2.934207e-02
4.949307e-01 2.573073e+00 2.934023e-02
4.949426e-01 2.573068e+00 2.933839e-02
4.949546e-01 2.573062e+00 2.933655e-02
4.949666e-01 2.573057e+00 2.933471e-02
4.949786e-01 2.573051e+00 2.933287e-02
4.949905e-01 2.573046e+00 2.933103e-02
4.950025e-01 2.573040e+00 2.932919e-02
4.950145e-01 2.573035e+00 2.932734e-02
4.950265e-01 2.573029e+00 2.932550e-02
4.950384e-01 2.573024e+00 2.932366e-02
4.950504e-01 2.573019e+00 2.932182e-02
4.950624e-01 2.573013e+00 2.931998e-02
4.950744e-01 2.573008e+00 2.931814e-02
4.950863e-01 2.573002e+00 2.931630e-02
4.950983e-01 2.572997e+00 2.931446e-02
4.951103e-01 2.572991e+00 2.931261e-02
4.951223e-01 2.572986e+00 2.931077e-02
4.951342e-01 2.572981e+00 2.930893e-02
4.951462e-01 2.572975e+00 2.930709e-02
4.951582e-01 2.572970e+00 2.930525e-02
4.951702e-01 2.572964e+00 2.930341e-02
4.951821e-01 2.572959e+00 2.930157e-02
4.951941e-01 2.572953e+00 2.929973e-02
4.952061e-01 2.572948e+00 2.929788e-02
4.952181e-01 2.572942e+00 2.929604e-02
4.952300e-01 2.572937e+00 2.929420e-02
4.952420e-01 2.572932e+00 2.929236e-02
4.952540e-01 2.572926e+00 2.929052e-02
4.952660e-01 2.572921e+00 2.928868e-02
4.952779e-01 2.572915e+00 2.928684e-02
4.952899e-01 2.572910e+00 2.928500e-02
4.953019e-01 2.572904e+00 2.928315e-02
4.953139e-01 2.572899e+00 2.928131e-02
4.953258e-01 2.572894e+00 2.927947e-02
4.953378e-01 2.572888e+00 2.927763e-02
4.953498e-01 2.572883e+00 2.927579e-02
4.953618e-01 2.572877e+00 2.927395e-02
4.953737e-01 2.572872e+00 2.927211e-02
4.953857e-01 2.572866e+00 2.927027e-02
4.953977e-01 2.572861e+00 2.926842e-02
4.954096e-01 2.572855e+00 2.926658e-02
4.954216e-01 2.572850e+00 2.926474e-02
4.954336e-01 2.572845e+00 2.926290e-02
4.954456e-01 2.572839e+00 2.926106e-02
4.954575e-01 2.572834e+00 2.925922e-02
4.954695e-01 2.572828e+00 2.925738e-02
4.954815e-01 2.572823e+00 2.925554e-02
4.954935e-01 2.572817e+00 2.925369e-02
4.955054e-01 2.572812e+00 2.925185e-02
4.955174e-01 2.572807e+00 2.925001e-02
4.955294e-01 2.572801e+00 2.924817e-02
4.955414e-01 2.572796e+00 2.924633e-02
4.955533e-01 2.572790e+00 2.924449e-02
4.955653e-01 2.572785e+00 2.924265e-02
4.955773e-01 2.572779e+00 2.924081e-02
4.955893e-01 2.572774e+00 2.923896e-02
4.956012e-01 2.572769e+00 2.923712e-02
4.956132e-01 2.572763e+00 2.923528e-02
4.956252e-01 2.572758e+00 2.923344e-02
4.956372e-01 2.572752e+00 2.923160e-02
4.956491e-01 2.572747e+00 2.922976e-02
4.956611e-01 2.572741e+00 2.922792e-02
4.956731e-01 2.572736e+00 2.922608e-02
4.956851e-01 2.572730e+00 2.922423e-02
4.956970e-01 2.572725e+00 2.922239e-02
4.957090e-01 2.572720e+00 2.922055e-02
4.957210e-01 2.572714e+00 2.921871e-02
4.957330e-01 2.572709e+00 2.921687e-02
4.957449e-01 2.572703e+00 2.921503e-02
4.957569e-01 2.572698e+00 2.921319e-02
4.957689e-01 2.572692e+00 2.921135e-02
4.957809e-01 2.572687e+00 2.920950e-02
4.957928e-01 2.572682e+00 2.920766e-02
4.958048e-01 2.572676e+00 2.920582e-02
4.958168e-01 2.572671e+00 2.920398e-02
4.958288e-01 2.572665e+00 2.920214e-02
4.958407e-01 2.572660e+00 2.920030e-02
4.958527e-01 2.572654e+00 2.919846e-02
4.958647e-01 2.572649e+00 2.919662e-02
4.958766e-01 2.572643e+00 2.919477e-02
4.958886e-01 2.572638e+00 2.919293e-02
4.959006e-01 2.572633e+00 2.919109e-02
4.959126e-01 2.572627e+00 2.918925e-02
4.959245e-01 2.572622e+00 2.918741e-02
4.959365e-01 2.572616e+00 2.918557e-02
4.959485e-01 2.572611e+00 2.918373e-02
4.959605e-01 2.572605e+00 2.918189e-02
4.959724e-01 2.572600e+00 2.918004e-02
4.959844e-01 2.572595e+00 2.917820e-02
4.959964e-01 2.572589e+00 2.917636e-02
4.960084e-01 2.572584e+00 2.917452e-02
4.960203e-01 2.572578e+00 2.917268e-02
4.960323e-01 2.572573e+00 2.917084e-02
4.960443e-01 2.572567e+00 2.916900e-02
4.960563e-01 2.572562e+00 2.916716e-02
4.960682e-01 2.572556e+00 2.916531e-02
4.960802e-01 2.572551e+00 2.916347e-02
4.960922e-01 2.572546e+00 2.916163e-02
4.961042e-01 2.572540e+00 2.915979e-02
4.961161e-01 2.572535e+00 2.915795e-02
4.961281e-01 2.572529e+00 2.915611e-02
4.961401e-01 2.572524e+00 2.915427e-02
4.961521e-01 2.572518e+00 2.915243e-02
4.961640e-01 2.572513e+00 2.915058e-02
4.961760e-01 2.572508e+00 2.914874e-02
4.961880e-01 2.572502e+00 2.914690e-02
